Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,N.lab,C.lab,runDate,type,SampID,ionization,rep,Timepoint,Experiment,Blk.flag,ppm.flag,size.flag,RT.check,all.flags,rawArea,iso.mz,RT,Blk.Max.Area,Area.less.blk,z,Area.filled.w.background,all.area,MID
Glycine,200908_Smp_GBTFate2Tlong_A,Glycine_13C-1 15N-0,2.56,15392014,0,4412566,0,1,200908,Smp,GBTFate2Tlong,A,NA,96,Fate2,ok,ok,ok,ok,all ok,15392014,247.091221,2.6,6488086,8903928,1,8903928,86366921,0.1030941927407601
Glycine,200908_Smp_GBTFate2Tlong_C,Glycine_13C-1 15N-0,2.57,17685208,0,5077917,0,1,200908,Smp,GBTFate2Tlong,C,NA,96,Fate2,ok,ok,ok,ok,all ok,17685208,247.091221,2.6,6488086,11197122,1,11197122,109190963,0.10254623361092621
Glycine,200908_Smp_GBTFate1T0_B,Glycine_13C-2 15N-0,2.57,1662286,0,650466,0,2,200908,Smp,GBTFate1T0,B,NA,0,Fate1,ok,ok,ok,ok,all ok,1662286,248.094575,2.6,96372,1565914,1,1565914,195811387,0.007997052796526077
Glycine,200908_Smp_GBTFate2T0_B,Glycine_13C-2 15N-0,2.57,433902,0,271744,0,2,200908,Smp,GBTFate2T0,B,NA,0,Fate2,ok,ok,ok,ok,all ok,433902,248.094575,2.6,96372,337530,1,337530,50469462,0.006687806578956597
Glycine,200908_Smp_GBTFate2T0_C,Glycine_13C-2 15N-0,2.57,866227,0,424789,0,2,200908,Smp,GBTFate2T0,C,NA,0,Fate2,ok,ok,ok,ok,all ok,866227,248.094575,2.6,96372,769855,1,769855,145891256,0.005276909810139683
Glycine,200908_Smp_GBTFate1Tlong_A,Glycine_13C-2 15N-0,2.56,1030586,0,425108,0,2,200908,Smp,GBTFate1Tlong,A,NA,96,Fate1,ok,ok,ok,ok,all ok,1030586,248.094575,2.6,96372,934214,1,934214,128322654,0.007280195436107486
Glycine,200908_Smp_GBTFate1Tlong_B,Glycine_13C-2 15N-0,2.57,2226816,0,700319,0,2,200908,Smp,GBTFate1Tlong,B,NA,96,Fate1,ok,ok,ok,ok,all ok,2226816,248.094575,2.6,96372,2130444,1,2130444,210542445,0.010118833758200158
Glycine,200908_Smp_GBTFate2Tlong_A,Glycine_13C-2 15N-0,2.57,535911,0,372235,0,2,200908,Smp,GBTFate2Tlong,A,NA,96,Fate2,ok,ok,ok,ok,all ok,535911,248.094575,2.6,96372,439539,1,439539,86366921,0.005089205391494737
Glycine,200908_Smp_GBTFate2Tlong_C,Glycine_13C-2 15N-0,2.57,1218798,0,411698,0,2,200908,Smp,GBTFate2Tlong,C,NA,96,Fate2,ok,ok,ok,ok,all ok,1218798,248.094575,2.6,96372,1122426,1,1122426,109190963,0.01027947706624769
Glycine,200908_Smp_GBTFate1T0_B,Glycine_13C-0 15N-1,2.57,2934408,0,915027,1,0,200908,Smp,GBTFate1T0,B,NA,0,Fate1,ok,ok,ok,ok,all ok,2934408,247.084903,2.6,447437,2486971,1,2486971,195811387,0.012700849721267742
Glycine,200908_Smp_GBTFate2T0_B,Glycine_13C-0 15N-1,2.58,1155933,0,385592,1,0,200908,Smp,GBTFate2T0,B,NA,0,Fate2,ok,ok,ok,ok,all ok,1155933,247.084903,2.6,447437,708496,1,708496,50469462,0.014038112789868851
Glycine,200908_Smp_GBTFate2T0_C,Glycine_13C-0 15N-1,2.58,1846803,0,622966,1,0,200908,Smp,GBTFate2T0,C,NA,0,Fate2,ok,ok,ok,ok,all ok,1846803,247.084903,2.6,447437,1399366,1,1399366,145891256,0.009591842844920056
Glycine,200908_Smp_GBTFate1Tlong_A,Glycine_13C-0 15N-1,2.57,2002793,0,658449,1,0,200908,Smp,GBTFate1Tlong,A,NA,96,Fate1,ok,ok,ok,ok,all ok,2002793,247.084903,2.6,447437,1555356,1,1555356,128322654,0.012120665771142795
