Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
L-Arginine,200605_Smp_GBTFate1MT50-IS_C,L-Arginine_13C-0 15N-1,19.12,74617,0,8231,-4.4,L-Arginine
L-Arginine,200605_Smp_GBTFate1MT8-IS_A,L-Arginine_13C-0 15N-1,18.95,12914,0,2742,-3.2,L-Arginine
L-Arginine,200605_Smp_GBTFate1MT8-IS_B,L-Arginine_13C-0 15N-1,18.66,230045,0,19879,-2.4,L-Arginine
L-Arginine,200605_Smp_GBTFate1MT8-IS_C,L-Arginine_13C-0 15N-1,18.72,30739,0,6170,-1.9,L-Arginine
L-Arginine,200605_Smp_GBTFate1MTlong-IS_A,L-Arginine_13C-0 15N-1,18.75,63598,0,9752,-2.5,L-Arginine
L-Arginine,200605_Smp_GBTFate1MTlong-IS_B,L-Arginine_13C-0 15N-1,18.77,242414,0,17755,-2.1,L-Arginine
L-Arginine,200605_Smp_GBTFate1MTlong-IS_C,L-Arginine_13C-0 15N-1,18.87,459970,0,27649,-2.8,L-Arginine
L-Arginine,200605_Smp_GBTFate2MT0-IS_A,L-Arginine_13C-0 15N-1,21.56,73873,0,41434,8.3,L-Arginine
L-Arginine,200605_Smp_GBTFate2MT0-IS_B,L-Arginine_13C-0 15N-1,21.53,69220,0,37488,6.3,L-Arginine
L-Arginine,200605_Smp_GBTFate2MT0-IS_C,L-Arginine_13C-0 15N-1,21.56,133356,0,41507,9.2,L-Arginine
L-Arginine,200605_Smp_GBTFate2MT12-IS_A,L-Arginine_13C-0 15N-1,18.81,10719,0,6504,-3.4,L-Arginine
L-Arginine,200605_Smp_GBTFate2MT12-IS_B,L-Arginine_13C-0 15N-1,19.07,40448,0,7782,-2.9,L-Arginine
L-Arginine,200605_Smp_GBTFate2MT12-IS_C,L-Arginine_13C-0 15N-1,18.67,165652,0,9505,-3,L-Arginine
L-Arginine,200605_Smp_GBTFate2MT24-IS_A,L-Arginine_13C-0 15N-1,18.78,37216,0,7616,-1.6,L-Arginine
L-Arginine,200605_Smp_GBTFate2MT24-IS_B,L-Arginine_13C-0 15N-1,21.58,168076,0,58984,9.4,L-Arginine
L-Arginine,200605_Smp_GBTFate2MT24-IS_C,L-Arginine_13C-0 15N-1,19.02,10350,0,4049,-1.7,L-Arginine
L-Arginine,200605_Smp_GBTFate2MT48-IS_A,L-Arginine_13C-0 15N-1,19.11,120046,0,10860,-2.9,L-Arginine
L-Arginine,200605_Smp_GBTFate2MT48-IS_B,L-Arginine_13C-0 15N-1,18.88,35488,0,5976,-3.1,L-Arginine
L-Arginine,200605_Smp_GBTFate2MT48-IS_C,L-Arginine_13C-0 15N-1,18.7,197630,0,10659,-2.1,L-Arginine
