Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
Amino Acids,200908_Std_1.0uM_GBTFate1T0_A-2,Proline,3.82,398653216,1845073,224111440,-1.1,Amino Acids
Amino Acids,200908_Std_2.5uM_GBTFate1T0_A-2,Proline,3.82,708397312,5959328,431508384,-1.7,Amino Acids
Amino Acids,191001_Std_AA_AA-IS,Lysine,4.11,628445568,6780722,566401024,0,Amino Acids
Amino Acids,200908_Blk_GBTFateBlk_A,Lysine,4.18,7222027,0,6653588,0,Amino Acids
Amino Acids,200908_Blk_GBTFateBlk_B,Lysine,4.18,12350508,0,9492164,-0.3,Amino Acids
Amino Acids,200908_Smp_GBTFate1T0_A,Lysine,4.17,29351076,0,26409594,-0.5,Amino Acids
Amino Acids,200908_Smp_GBTFate1T0_B,Lysine,4.17,135343568,492494,116574072,-0.8,Amino Acids
Amino Acids,200908_Smp_GBTFate1T0_C,Lysine,4.18,28940194,0,21038930,-0.3,Amino Acids
Amino Acids,200908_Smp_GBTFate2T0_A,Lysine,4.17,60751764,0,55796616,-0.5,Amino Acids
Amino Acids,200908_Smp_GBTFate2T0_B,Lysine,4.17,47845832,0,42652520,-0.8,Amino Acids
Amino Acids,200908_Smp_GBTFate2T0_C,Lysine,4.17,84640520,0,78977944,-0.3,Amino Acids
Amino Acids,200908_Smp_GBTFate1Tlong_A,Lysine,4.17,106752976,0,95735712,-0.3,Amino Acids
Amino Acids,200908_Smp_GBTFate1Tlong_B,Lysine,4.17,110439536,0,95117304,-0.7,Amino Acids
Amino Acids,200908_Smp_GBTFate1Tlong_C,Lysine,4.17,53914056,383652,47413628,-0.6,Amino Acids
Amino Acids,200908_Smp_GBTFate2Tlong_A,Lysine,4.17,70385640,0,54436852,-0.2,Amino Acids
Amino Acids,200908_Smp_GBTFate2Tlong_B,Lysine,4.17,34150184,0,32751002,-1,Amino Acids
Amino Acids,200908_Std_0.5uM_GBTFate1T0_A-1,Lysine,4.2,111122464,313084,99155008,0,Amino Acids
Amino Acids,200908_Std_1.0uM_GBTFate1T0_A-1,Lysine,4.18,230432320,0,185996688,-0.4,Amino Acids
Amino Acids,200908_Std_0uM_GBTFate1T0_A-1,Lysine,4.2,10066222,0,10004953,-0.1,Amino Acids
Amino Acids,200908_Smp_GBTFate2Tlong_C,Lysine,4.17,69048376,662897,55130812,0,Amino Acids
Amino Acids,200908_Std_2.5uM_GBTFate1T0_A-1,Lysine,4.18,383772992,0,348064512,-0.1,Amino Acids
Amino Acids,200908_Std_0uM_GBTFate1T0_A-2,Lysine,4.17,27397486,0,21120052,-0.7,Amino Acids
Amino Acids,200908_Std_0.5uM_GBTFate1T0_A-2,Lysine,4.16,322887968,2404525,264314304,0.2,Amino Acids
Amino Acids,200908_Std_1.0uM_GBTFate1T0_A-2,Lysine,4.17,562533248,863854,491012096,-0.4,Amino Acids
Amino Acids,200908_Std_2.5uM_GBTFate1T0_A-2,Lysine,4.17,1008778944,7793651,884282368,-0.7,Amino Acids
