Compound.Name,Emperical.Formula,Column,m.z,z,C,N,this.N,possibilities,names.isotopes,iso.mz,Compound.and.Iso.name
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-39 15N-2,934.667478,Chlorophyll_13C-39 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-40 15N-2,935.6708319999999,Chlorophyll_13C-40 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-41 15N-2,936.674186,Chlorophyll_13C-41 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-42 15N-2,937.6775399999999,Chlorophyll_13C-42 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-43 15N-2,938.680894,Chlorophyll_13C-43 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-44 15N-2,939.6842479999999,Chlorophyll_13C-44 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-45 15N-2,940.687602,Chlorophyll_13C-45 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-46 15N-2,941.6909559999999,Chlorophyll_13C-46 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-47 15N-2,942.69431,Chlorophyll_13C-47 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-48 15N-2,943.6976639999999,Chlorophyll_13C-48 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-49 15N-2,944.701018,Chlorophyll_13C-49 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-50 15N-2,945.7043719999999,Chlorophyll_13C-50 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-51 15N-2,946.707726,Chlorophyll_13C-51 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-52 15N-2,947.7110799999999,Chlorophyll_13C-52 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-53 15N-2,948.714434,Chlorophyll_13C-53 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-54 15N-2,949.7177879999999,Chlorophyll_13C-54 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-55 15N-2,950.721142,Chlorophyll_13C-55 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-0 15N-3,896.533708,Chlorophyll_13C-0 15N-3
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-1 15N-3,897.537062,Chlorophyll_13C-1 15N-3
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-2 15N-3,898.540416,Chlorophyll_13C-2 15N-3
