Experiment,Timepoint,Incubation time (hr),Metabolite,Isotopologue,C.lab,N.lab,iso.mz,ionization,nM.in.Sample.ave,nM.in.sample.sd,MID.mean,MID.sd
Fate1,12,12.5,Adenine,Adenine_13C-2 15N-0,2,0,138.069028,pos,3.756753182608534e-5,2.3056991102462714e-5,0.0011578059239507625,3.980057861551045e-4
Fate1,36,36,Adenine,Adenine_13C-2 15N-0,2,0,138.069028,pos,9.422378555847235e-5,2.7274625476417405e-5,0.0030491130828572584,1.169500530726073e-4
Fate1,4,4.5,Adenine,Adenine_13C-2 15N-0,2,0,138.069028,pos,1.3095557465017026e-4,2.1925979042158983e-4,0.0037670499628991287,0.005908652413130356
Fate1,50,50,Adenine,Adenine_13C-2 15N-0,2,0,138.069028,pos,1.1566798450557189e-4,1.438538877517456e-5,0.003191016068640795,5.429670424307766e-4
Fate1,8,9,Adenine,Adenine_13C-2 15N-0,2,0,138.069028,pos,1.8236681331787267e-5,1.1217069732630795e-5,0.0015498587944115711,0.0010175696749054406
Fate1,96,98,Adenine,Adenine_13C-2 15N-0,2,0,138.069028,pos,1.0905928265892799e-4,1.0719998787300843e-4,0.0036278770135358455,0.0016410003955419485
Fate2,0,0.3,Adenine,Adenine_13C-2 15N-0,2,0,138.069028,pos,1.124363468453146e-5,8.302862767559033e-6,3.159429327820863e-4,1.589343216980943e-4
Fate2,12,13,Adenine,Adenine_13C-2 15N-0,2,0,138.069028,pos,2.2646452634966786e-5,1.8537803070236892e-5,0.0011569265528978824,2.1355390864123396e-4
Fate2,24,25,Adenine,Adenine_13C-2 15N-0,2,0,138.069028,pos,8.025315287256963e-5,2.6131375277757686e-5,0.00237684427497317,7.209774109629165e-5
Fate2,48,51,Adenine,Adenine_13C-2 15N-0,2,0,138.069028,pos,1.8552513780170518e-4,9.437378932461744e-5,0.005543500440149999,8.23458162062591e-4
Fate2,5,6,Adenine,Adenine_13C-2 15N-0,2,0,138.069028,pos,1.1616123688179565e-5,1.0070932356570503e-5,4.094855347527566e-4,3.6231659017092364e-4
Fate2,96,100,Adenine,Adenine_13C-2 15N-0,2,0,138.069028,pos,4.176224698089536e-4,2.901144986915133e-4,0.011735293094724758,0.0018068520948330523
Fate1,0,0.5,Adenine,Adenine_13C-2 15N-1,2,1,139.066064,pos,0,0,0,0
Fate1,12,12.5,Adenine,Adenine_13C-2 15N-1,2,1,139.066064,pos,1.8829440181318765e-5,2.6336791912964593e-5,4.991019454784647e-4,6.560418428473432e-4
Fate1,36,36,Adenine,Adenine_13C-2 15N-1,2,1,139.066064,pos,5.0751045366160694e-5,1.6794221900952286e-5,0.0016333972710184251,2.74158693260841e-4
Fate1,4,4.5,Adenine,Adenine_13C-2 15N-1,2,1,139.066064,pos,1.6126819616692542e-4,2.7860954171390136e-4,0.00445995584674855,0.007664404235950264
