MassFeature,Protein Name,Experiment,Timepoint,type,replicate,Concentration_uM.in.vial,Time of day,Vol Filtered (L),Incubation time (hr),Time since last sample (hr),nM.in.sample
beta-Alaninebetaine_13C-0 15N-0,beta-Alaninebetaine,Fate2,48,Smp,A,0.3232683426739386,900,2,51,26,0.07990762406442864
beta-Alaninebetaine_13C-0 15N-0,beta-Alaninebetaine,Fate2,48,Smp,B,0.3339037695664584,900,2,51,26,0.08253655978656763
beta-Alaninebetaine_13C-0 15N-0,beta-Alaninebetaine,Fate2,48,Smp,C,0.41666443858588836,900,2,51,26,0.1029938936925838
beta-Alaninebetaine_13C-0 15N-0,beta-Alaninebetaine,Fate2,5,Smp,A,0.34155581267774704,1300,2,6,5.75,0.0844280428164367
beta-Alaninebetaine_13C-0 15N-0,beta-Alaninebetaine,Fate2,5,Smp,B,0.4582113385751177,1300,2,6,5.75,0.11326373341125476
beta-Alaninebetaine_13C-0 15N-0,beta-Alaninebetaine,Fate2,5,Smp,C,0.23827466501606123,1300,2,6,5.75,0.05889832019643679
beta-Alaninebetaine_13C-0 15N-0,beta-Alaninebetaine,Fate2,96,Smp,A,0.4403239753126955,1000,2,100,49,0.10884221571096082
beta-Alaninebetaine_13C-0 15N-0,beta-Alaninebetaine,Fate2,96,Smp,B,0.2777824484440962,1000,2,100,49,0.06866411748940134
beta-Alaninebetaine_13C-0 15N-0,beta-Alaninebetaine,Fate2,96,Smp,C,0.3625149073413957,1000,2,100,49,0.08960885156269514
beta-Alaninebetaine_13C-0 15N-0,beta-Alaninebetaine,Fate1,NA,Blk,A,NA,NA,NA,NA,NA,NA
beta-Alaninebetaine_13C-0 15N-0,beta-Alaninebetaine,Fate1,NA,Blk,B,NA,NA,NA,NA,NA,NA
Betonicine_13C-0 15N-0,Betonicine,Fate1,0,Smp,A,0.11662690383666417,900,2,0.5,0,0.028828615603038895
Betonicine_13C-0 15N-0,Betonicine,Fate1,0,Smp,B,0.08735585690851834,900,2,0.5,0,0.021593203083026955
Betonicine_13C-0 15N-0,Betonicine,Fate1,0,Smp,C,0.10503246712895264,900,1.95,0.5,0,0.026628333786032864
Betonicine_13C-0 15N-0,Betonicine,Fate1,12,Smp,A,0.08046234465690927,1930,2,12.5,3.5,0.01988921876792588
Betonicine_13C-0 15N-0,Betonicine,Fate1,12,Smp,B,0.036583833121143265,1930,2,12.5,3.5,0.009043035763105
Betonicine_13C-0 15N-0,Betonicine,Fate1,12,Smp,C,0.047405202759121565,1930,2,12.5,3.5,0.011717934052684731
Betonicine_13C-0 15N-0,Betonicine,Fate1,36,Smp,A,0.055605680116657494,1900,2,36,23.5,0.01374498271576951
Betonicine_13C-0 15N-0,Betonicine,Fate1,36,Smp,B,0.061675641356918845,1900,2,36,23.5,0.01524539620154558
Betonicine_13C-0 15N-0,Betonicine,Fate1,36,Smp,C,0.1212371435183302,1900,2,36,23.5,0.029968205382484316
Betonicine_13C-0 15N-0,Betonicine,Fate1,4,Smp,A,0.06783368707167929,1200,2,4.5,4.25,0.016767582994958164
Betonicine_13C-0 15N-0,Betonicine,Fate1,4,Smp,B,0.07372565323375686,1200,2,4.5,4.25,0.01822399847067491
