Isotopologue,Experiment,p.value,sig
Guanosine_13C-1 15N-0,Fate1,0.033319980488898955,TRUE
Guanosine_13C-1 15N-0,Fate2,0.5919544205360452,FALSE
Guanosine_13C-2 15N-0,Fate1,0.04062833654056323,TRUE
Guanosine_13C-2 15N-0,Fate2,0.010598589316426741,TRUE
Homarine_13C-0 15N-0,Fate1,6.165335750781798e-10,TRUE
Homarine_13C-0 15N-0,Fate2,0.0028388385185627667,TRUE
Homarine_13C-0 15N-1,Fate1,1.8102319290248129e-13,TRUE
Homarine_13C-0 15N-1,Fate2,9.114659364069979e-4,TRUE
Homarine_13C-1 15N-0,Fate1,1.950802827205371e-5,TRUE
Homarine_13C-1 15N-0,Fate2,0.7545772361339067,FALSE
Homarine_13C-1 15N-1,Fate1,3.387963647502679e-9,TRUE
Homarine_13C-1 15N-1,Fate2,0.025067568607204566,TRUE
Homarine_13C-2 15N-0,Fate1,1.8197319338810665e-7,TRUE
Homarine_13C-2 15N-0,Fate2,0.11663072511554498,FALSE
Homarine_13C-3 15N-0,Fate1,0.7162822588893416,FALSE
Homarine_13C-3 15N-0,Fate2,0.2646276960178832,FALSE
Homarine_13C-3 15N-1,Fate2,0.5048918240473983,FALSE
Isethionic acid_13C-0,Fate1,0.001190832324477912,TRUE
Isethionic acid_13C-0,Fate2,0.0032620984643389546,TRUE
Isethionic acid_13C-1,Fate1,0.0011908323244778458,TRUE
Isethionic acid_13C-1,Fate2,0.0032620984643387555,TRUE
L-Alanine_13C-0 15N-0,Fate1,0.7046685439196558,FALSE
L-Alanine_13C-0 15N-0,Fate2,0.012383777161981342,TRUE
L-Alanine_13C-0 15N-1,Fate1,0.25524971633846616,FALSE
L-Alanine_13C-0 15N-1,Fate2,3.446423554693483e-4,TRUE
L-Alanine_13C-1 15N-0,Fate1,0.7900422700565541,FALSE
L-Alanine_13C-1 15N-0,Fate2,0.3433864068652036,FALSE
L-Arginine_13C-0 15N-0,Fate1,0.17728416040301065,FALSE
L-Arginine_13C-0 15N-0,Fate2,1.1168039783176281e-4,TRUE
L-Arginine_13C-0 15N-1,Fate1,3.9020798067562084e-4,TRUE
L-Arginine_13C-0 15N-1,Fate2,9.48068190929994e-8,TRUE
L-Arginine_13C-1 15N-0,Fate1,0.08158045134716949,FALSE
L-Arginine_13C-1 15N-0,Fate2,0.6975498112576219,FALSE
L-Glutamic acid_13C-0 15N-0,Fate1,9.629741447927832e-6,TRUE
L-Glutamic acid_13C-0 15N-0,Fate2,3.3629562136012176e-12,TRUE
L-Glutamic acid_13C-0 15N-1,Fate1,8.845950465386962e-6,TRUE
L-Glutamic acid_13C-0 15N-1,Fate2,7.91159797205615e-13,TRUE
L-Glutamic acid_13C-1 15N-0,Fate1,7.418830467879977e-5,TRUE
L-Glutamic acid_13C-1 15N-0,Fate2,8.66691374718422e-5,TRUE
L-Glutamic acid_13C-1 15N-1,Fate1,9.549341245375323e-7,TRUE
L-Glutamic acid_13C-1 15N-1,Fate2,2.026185386152577e-11,TRUE
L-Glutamic acid_13C-2 15N-1,Fate2,8.075880023101631e-6,TRUE
L-Glutamic acid_13C-3 15N-0,Fate2,4.710932518527228e-5,TRUE
L-Glutamine_13C-0 15N-0,Fate1,3.643012385031261e-6,TRUE
L-Glutamine_13C-0 15N-0,Fate2,2.1779584395111406e-10,TRUE
L-Glutamine_13C-0 15N-1,Fate1,1.41690274410586e-7,TRUE
L-Glutamine_13C-0 15N-1,Fate2,3.3416865484829736e-11,TRUE
L-Glutamine_13C-1 15N-0,Fate1,8.296838940657692e-4,TRUE
L-Glutamine_13C-1 15N-0,Fate2,2.044964682237785e-4,TRUE
L-Methionine_13C-0 15N-0,Fate1,0.03022754063899787,TRUE
L-Methionine_13C-0 15N-0,Fate2,0.36425444710868315,FALSE
L-Methionine_13C-1 15N-0,Fate1,0.030227540638997727,TRUE
L-Methionine_13C-1 15N-0,Fate2,0.3642544471086816,FALSE
L-Phenylalanine_13C-0 15N-0,Fate1,0.02675440876219966,TRUE
L-Phenylalanine_13C-0 15N-0,Fate2,0.18106567969228393,FALSE
L-Phenylalanine_13C-0 15N-1,Fate1,9.422007237800849e-4,TRUE
L-Phenylalanine_13C-0 15N-1,Fate2,6.163526630238507e-5,TRUE
L-Phenylalanine_13C-1 15N-0,Fate1,0.04757031033115448,TRUE
L-Phenylalanine_13C-1 15N-0,Fate2,0.30084648780771783,FALSE
L-Phenylalanine_13C-1 15N-1,Fate2,0.24633419925150063,FALSE
L-Phenylalanine_13C-2 15N-0,Fate1,0.09012793315476965,FALSE
L-Phenylalanine_13C-2 15N-0,Fate2,0.27861374497004543,FALSE
L-Phenylalanine_13C-4 15N-0,Fate2,0.08113970084139395,FALSE
L-Phenylalanine_13C-5 15N-0,Fate2,0.258586538064669,FALSE
L-Proline_13C-0 15N-0,Fate1,0.0025026504191275685,TRUE
L-Proline_13C-0 15N-0,Fate2,0.9820836323558115,FALSE
L-Proline_13C-0 15N-1,Fate1,9.79697953545086e-5,TRUE
L-Proline_13C-0 15N-1,Fate2,6.123771463165379e-7,TRUE
L-Proline_13C-1 15N-0,Fate1,0.006725755102928427,TRUE
L-Proline_13C-1 15N-0,Fate2,0.026505698360493844,TRUE
L-Proline_13C-5 15N-0,Fate1,0.7858706349540672,FALSE
L-Proline_13C-5 15N-0,Fate2,0.09827028380324082,FALSE
L-Tryptophan_13C-0 15N-0,Fate1,0.3932472168007485,FALSE
L-Tryptophan_13C-0 15N-0,Fate2,0.6270990249077342,FALSE
L-Tryptophan_13C-0 15N-1,Fate1,0.055812265050949446,FALSE
L-Tryptophan_13C-0 15N-1,Fate2,0.05484449296506299,FALSE
L-Tryptophan_13C-1 15N-0,Fate1,0.3113033670795277,FALSE
L-Tryptophan_13C-1 15N-0,Fate2,0.23475621952459755,FALSE
L-Tryptophan_13C-2 15N-0,Fate1,0.004716678477108256,TRUE
L-Tryptophan_13C-2 15N-0,Fate2,0.002747794589079279,TRUE
L-Tryptophan_13C-3 15N-1,Fate1,0.34254999869090685,FALSE
Methylthioadenosine_13C-0 15N-0,Fate1,0.8685880567147591,FALSE
Methylthioadenosine_13C-0 15N-0,Fate2,1.9610285833045384e-5,TRUE
Methylthioadenosine_13C-1 15N-0,Fate1,0.042033811657078854,TRUE
Methylthioadenosine_13C-1 15N-0,Fate2,1.9610285833045025e-5,TRUE
Methylthioadenosine_13C-5 15N-1,Fate1,0.21878551728161608,FALSE
Proline betaine_13C-0 15N-0,Fate1,0.02671935912913897,TRUE
Proline betaine_13C-0 15N-0,Fate2,0.08606530938106861,FALSE
Proline betaine_13C-0 15N-1,Fate1,0.03685232678079941,TRUE
